対象断面,策定年度／年月,策定／更新後,連系線,年月日,昼／夜,方向,空容量最小,空容量最大,計画潮流,マージンA最大,マージンA最小,マージンB,運用容量,運用容量決定要因,運用容量拡大分空容量,運用容量拡大分運用容量,送電NG情報件数,送電NG情報延べ容量,最新更新年月日時刻
月間,202112,策定,北海道・本州間電力連系設備,2022/02/01,昼間帯,順方向,690.0,690.0,0,110,110,0.0,800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/01,昼間帯,逆方向,-270.0,-270.0,0,-530,-530,0.0,-800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/01,夜間帯,順方向,720.0,720.0,0,80,80,0.0,800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/01,夜間帯,逆方向,-280.0,-280.0,0,-520,-520,0.0,-800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/02,昼間帯,順方向,690.0,690.0,0,110,110,0.0,800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/02,昼間帯,逆方向,-270.0,-270.0,0,-530,-530,0.0,-800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/02,夜間帯,順方向,720.0,720.0,0,80,80,0.0,800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/02,夜間帯,逆方向,-280.0,-280.0,0,-520,-520,0.0,-800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/03,昼間帯,順方向,690.0,690.0,0,110,110,0.0,800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/03,昼間帯,逆方向,-270.0,-270.0,0,-530,-530,0.0,-800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/03,夜間帯,順方向,720.0,720.0,0,80,80,0.0,800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/03,夜間帯,逆方向,-280.0,-280.0,0,-520,-520,0.0,-800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/04,昼間帯,順方向,690.0,690.0,0,110,110,0.0,800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
月間,202112,策定,北海道・本州間電力連系設備,2022/02/04,昼間帯,逆方向,-270.0,-270.0,0,-530,-530,0.0,-800,熱容量（作業）,0,0,0,0,2021/12/20 17:05:04
