対象断面,策定週,策定／更新後,連系線,年月日,時間,方向,空容量最小,空容量最大,計画潮流,マージン合計最大,マージン合計最小,運用容量,運用容量決定要因,運用容量拡大分空容量,運用容量拡大分運用容量,送電NG情報件数,送電NG情報延べ容量,最新更新年月日時刻
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,00:30,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,00:30,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,00:30,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,00:30,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,01:00,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,01:00,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,01:00,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,01:00,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,01:30,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,01:30,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,01:30,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,01:30,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,02:00,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,02:00,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,02:00,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,02:00,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,02:30,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,02:30,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,02:30,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,02:30,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,03:00,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,03:00,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,03:00,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,03:00,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,03:30,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,03:30,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,03:30,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,03:30,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,04:00,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,04:00,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,04:00,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020121,策定,北海道・本州間電力連系設備,2020/12/05,04:00,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/12/03 10:00:09
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,04:30,順方向,685.0,685.0,0,215.0,215.0,900,熱容量,0,0,0,0,2020/11/26 10:00:13
週間,2020114,策定,北海道・本州間電力連系設備,2020/12/05,04:30,逆方向,-375.0,-375.0,0,-525.0,-525.0,-900,熱容量,0,0,0,0,2020/11/26 10:00:13
